source,translation,context
# Scrap Metal Suite - Custom Thai Translations
# This file overrides default ERPNext Thai translations

# Common Terms
"Supplier","ผู้ขาย",""
"Customer","ลูกค้า",""
"Item","สินค้า",""
"Price","ราคา",""
"Quantity","จำนวน",""
"Weight","น้ำหนัก",""
"Total","รวม",""
"Submit","ส่ง",""
"Save","บันทึก",""
"Cancel","ยกเลิก",""
"Delete","ลบ",""
"Edit","แก้ไข",""
"New","สร้างใหม่",""
"Dashboard","แดชบอร์ด",""
"Settings","ตั้งค่า",""
"Logout","ออกจากระบบ",""

# Scrap Metal Specific
"Scrap Metal","เศษโลหะ",""
"Scrap Purchase","รับซื้อเศษโลหะ",""
"POS Session","เซสชั่นขาย",""
"Weight Receipt","ใบชั่งน้ำหนัก",""
"Scale","เครื่องชั่ง",""

# Portal Terms
"View Prices","ดูราคา",""
"Sell Scrap","ขายเศษโลหะ",""
"My Invoices","ใบแจ้งหนี้ของฉัน",""
"Schedule Dropoff","นัดหมายส่งของ",""
"Recent Purchases","การซื้อล่าสุด",""

# Status
"Pending","รอดำเนินการ",""
"Approved","อนุมัติแล้ว",""
"Rejected","ปฏิเสธ",""
"Open","เปิด",""
"Closed","ปิด",""
"Draft","ร่าง",""
"Submitted","ส่งแล้ว",""
"Cancelled","ยกเลิกแล้ว",""

# Container Redesign - Controller validations (scrap_weight_container.py)
"Net weight must be greater than 0","น้ำหนักสุทธิต้องมากกว่า 0",""
"Reweigh reason is required","ต้องระบุเหตุผลในการชั่งใหม่",""
"Void reason is required","ต้องระบุเหตุผลในการยกเลิก",""
"Reason required for grade deviation","ต้องระบุเหตุผลเมื่อเกรดต่างจากที่คาด",""
"Weight {0} exceeds scale capacity {1}","น้ำหนัก {0} เกินความสามารถของตราชั่ง {1}",""

# Container Redesign - Dropoff controller messages (dropoff.py)
"Dropoff {0} is locked to session {1}. Pause and resume to switch.","ใบส่งมอบ {0} ถูกล็อกกับเซสชัน {1} ให้หยุดชั่วคราวและทำงานต่อเพื่อเปลี่ยน",""
"Dropoff {0} requires scale {1}; current session uses {2}.","ใบส่งมอบ {0} ต้องใช้ตราชั่ง {1} แต่เซสชันปัจจุบันใช้ {2}",""
"Cannot pause: status is {0}","ไม่สามารถหยุดชั่วคราว: สถานะคือ {0}",""
"Cannot resume: status is {0}","ไม่สามารถทำงานต่อ: สถานะคือ {0}",""
"Cannot resume: this dropoff is bound to scale {0}; current session uses {1}. Run Switch Scale first.","ไม่สามารถทำงานต่อ: ใบส่งมอบนี้ผูกกับตราชั่ง {0} แต่เซสชันปัจจุบันใช้ {1} กรุณาเปลี่ยนตราชั่งก่อน",""
"Cannot reassign: dropoff is bound to scale {0}; session {1} uses scale {2}. Run Switch Scale first.","ไม่สามารถเปลี่ยนเซสชัน: ใบส่งมอบผูกกับตราชั่ง {0} แต่เซสชัน {1} ใช้ตราชั่ง {2} กรุณาเปลี่ยนตราชั่งก่อน",""
"Session reassigned to {0}: {1}","เปลี่ยนเซสชันเป็น {0}: {1}",""
"Scale switched to {0}: {1}","เปลี่ยนตราชั่งเป็น {0}: {1}",""
"Weighing voided ({0} container(s)): {1}","ยกเลิกการชั่ง ({0} ภาชนะ): {1}",""
"Override reason required to verify a Needs-Review dropoff","ต้องระบุเหตุผลในการข้ามการตรวจสอบ",""
"Verification override applied: {0}","ข้ามการตรวจสอบ: {0}",""

# Container Redesign - API endpoint messages (api/v1/dropoff.py)
"Session {0} is not open","เซสชัน {0} ไม่ได้เปิดอยู่",""
"This session does not belong to the current user","เซสชันนี้ไม่ใช่ของผู้ใช้ปัจจุบัน",""
"Session {0} has no scale assigned","เซสชัน {0} ไม่มีตราชั่งที่กำหนด",""
"Invalid net weight","น้ำหนักสุทธิไม่ถูกต้อง",""
"Cannot complete: dropoff is paused","ไม่สามารถเสร็จสิ้น: ใบส่งมอบถูกหยุดชั่วคราว",""
"Cannot complete: status is {0}","ไม่สามารถเสร็จสิ้น: สถานะคือ {0}",""
"Cannot complete: there are unapproved deviations","ไม่สามารถเสร็จสิ้น: มีความเบี่ยงเบนที่ยังไม่ได้อนุมัติ",""
